id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34283470,Xochimilco hermosa Suite - habitación planta baja,145215359,Jose,,Xochimilco,19.2472,-99.09617,Private room,363,1,3,6/9/2019,1.76,1,135
34341737,"Private Room in Roma Sur, 5 min from Condesa",251383214,Max,,Cuauhtémoc,19.40669,-99.16459,Private room,363,1,0,,,1,49
34369590,Hermoso cuarto de huéspedes,130588835,Edgar,,Xochimilco,19.21203,-99.09841,Private room,363,1,0,,,1,180
34780611,Acogedora recámara en departamento compartido,257832491,Rossana,,Miguel Hidalgo,19.43709,-99.1884,Private room,363,1,4,6/15/2019,4,2,353
34840194,Tlaxcala 78,36226015,Juan Carlos,,Cuauhtémoc,19.40715,-99.165,Private room,363,1,0,,,2,347
34914669,CORAZON DE M CONTRERAS HOSPEDAJE FAMILIAR,168051135,Silvia,,La Magdalena Contreras,19.30662,-99.26643,Entire home/apt,363,2,0,,,4,179
35129666,Acogedor Mini Loft muy bien ubicado en zona centro,162472626,Angeles,,Cuauhtémoc,19.44151,-99.15231,Private room,363,2,3,6/16/2019,3,3,320
35190458,Habitación y baño individual en Del Valle Centro,113252372,Karen,,Benito Juárez,19.38616,-99.16958,Private room,363,1,1,6/5/2019,1,1,24
35229976,Beautiful Room Mexico City Roma Condesa Centro,25107151,Belem,,Cuauhtémoc,19.42011,-99.15817,Private room,363,7,2,6/16/2019,2,1,358
35429842,Quiet and private room with a huge shared terrace,4930242,Alberto,,Cuauhtémoc,19.4226,-99.16801,Private room,363,1,0,,,1,54
35456798,Enorme habitación a 5 min de SANTA FE,26966113,Arturo,,Cuajimalpa de Morelos,19.35467,-99.29081,Private room,363,1,0,,,4,365
35485925,¡Excelente ubicación turística!,266973540,Carla Mariana,,Cuauhtémoc,19.43369,-99.15533,Private room,363,1,0,,,1,365
35575025,Cuarto en departamento Colonia Roma,157587140,Sara Luz,,Cuauhtémoc,19.42293,-99.15437,Private room,363,1,0,,,1,69
35644127,"Room in lovely apartment, Mexico City.",3394561,Andrea,,Cuauhtémoc,19.42748,-99.15861,Private room,363,2,0,,,3,90
35646090,:COZY NICE ROOM ZONA ROSA/EMBAJADA 4,66387078,Iker Y Riko,,Cuauhtémoc,19.43028,-99.1646,Private room,363,2,1,6/18/2019,1,21,350
35655162,"Habitacion Privada Aeropuerto / Private Room  ""0""",192778392,Leticia,,Venustiano Carranza,19.43365,-99.08281,Private room,363,1,1,6/14/2019,1,6,358
35655729,"Habitacion Privada Aeropuerto / Private Room ""1""",192778392,Leticia,,Venustiano Carranza,19.43381,-99.08245,Private room,363,1,0,,,6,355
35746609,DETOX CDMX,55723197,Aseneth,,Benito Juárez,19.38856,-99.16865,Private room,363,2,0,,,1,162
35874666,Cute room in a modern flat in The Condesa,156990705,Inés,,Cuauhtémoc,19.4115,-99.17328,Private room,363,1,0,,,1,16
394589,"1 BDR ap in Ciudad de México "" STUDIO YEE "" - 1",931849,Carlos,,Cuauhtémoc,19.42499,-99.17479,Private room,344,7,19,10/31/2018,0.57,3,176
913084,15 blocks from Paseo de la Reforma,4647293,Martina,,Miguel Hidalgo,19.43982,-99.17104,Entire home/apt,344,1,107,11/17/2018,1.44,4,296
1135302,"Location & security, double bedroom apartment",6203086,Jose,,Benito Juárez,19.36687,-99.17906,Private room,344,3,7,8/11/2018,0.17,3,111
1147080,Beautiful and comfortable bedroom ,727250,Shantall,,Tlalpan,19.30171,-99.21581,Private room,344,2,1,9/20/2015,0.02,1,359
2516668,Room in new apartment of 1250ft²,3729922,Pedro,,Benito Juárez,19.39309,-99.15082,Private room,344,30,0,,,1,365
2807016,En el corazón del Centro Histórico,14358015,Lorena,,Cuauhtémoc,19.43848,-99.13632,Private room,344,1,164,3/5/2019,4.42,2,341
2986213,rooms & bed & bathroom,15227398,Rafael,,Cuauhtémoc,19.41129,-99.14497,Private room,344,1,0,,,1,365
3314993,CENTRO HISTÓRICO: Nice apartment,16754106,Edith,,Cuauhtémoc,19.43686,-99.14298,Private room,344,1,1,12/26/2014,0.02,1,0
3563222,Rooms in Art Deco House,17939178,Paz,,Miguel Hidalgo,19.40453,-99.1841,Private room,344,7,0,,,1,232
3947107,WONDERFUL ROOM IN A HOUSE,20456562,Sergio,,Tlalpan,19.29357,-99.16413,Private room,344,1,28,2/10/2018,0.48,1,360
4271260,Ideal para dormir cerca del centro ,7838038,Silvia,,Azcapotzalco,19.45763,-99.16493,Private room,344,1,0,,,1,365
4310491,Cozy private bedroom in Narvarte,22374603,Paul,,Benito Juárez,19.39492,-99.15102,Private room,344,5,3,4/30/2018,0.12,2,88
4602165,"Balcony, fountain water, Big Room, heart Condesa",8015823,Gustavo,,Cuauhtémoc,19.40903,-99.1702,Private room,344,2,4,12/10/2017,0.11,1,90
5021012,"Nice room, trendy area in the heart of roma norte",25905434,Pablo,,Cuauhtémoc,19.41839,-99.16193,Private room,344,2,77,5/31/2019,1.5,1,317
5135246,Suite espaciosa 5 min Unam / Itam,3642012,Alvaro,,Álvaro Obregón,19.33634,-99.1957,Private room,344,2,31,1/13/2019,0.58,6,89
5180895,"Quiet, roomy, bright,with a garden view.",12581631,Pablo,,Benito Juárez,19.39418,-99.17778,Private room,344,30,12,8/31/2018,0.24,7,174
5289079,Pretty room in beautiful apartment!,25107399,Alexa,,Cuauhtémoc,19.41026,-99.15937,Private room,344,2,29,1/26/2019,0.63,1,90
5403128,Habitacion en CDMX,28007378,David,,Azcapotzalco,19.48154,-99.19575,Private room,344,3,0,,,1,0
5601692,"1st , Private Room Condesa - Roma",28090452,Fabiola,,Cuauhtémoc,19.41999,-99.17105,Private room,344,1,209,6/5/2019,4.01,5,202
5618595,Estudio con cama en casa-habitación,25471598,Maria Edit,,Iztapalapa,19.36516,-99.13281,Private room,344,1,2,11/9/2015,0.04,2,0
5835691,Quiet Room in rent,5374855,Francisco,,Benito Juárez,19.39011,-99.17995,Private room,344,1,0,,,1,200
5839163,Céntrico departamento en la Narvarte,1453242,Xavi,,Benito Juárez,19.3933,-99.15389,Private room,344,2,9,11/4/2017,0.19,1,0
6026377,PRVT Patio 2 Tween beds PFT Condesa,10917267,,,Cuauhtémoc,19.41195,-99.17728,Private room,344,1,26,6/6/2019,0.52,43,0
6065186,Amplia Habitación en col condesa,31480563,María Elena,,Cuauhtémoc,19.41473,-99.17644,Private room,344,15,9,4/30/2019,0.25,1,276
6377182,Cozy and Amazing Room in the heart of Coyoacán,24792502,Kone,,Coyoacán,19.34951,-99.16476,Private room,344,1,0,,,1,359
6590992,Rento dos habitaciones en  hermosa casa antigua,34480686,Erykah,,Benito Juárez,19.38559,-99.15972,Private room,344,10,0,,,1,87
6661195,CONDESA ROOM,34779198,Mónica,,Cuauhtémoc,19.41254,-99.17506,Private room,344,7,49,5/27/2019,1.03,1,341
6836962,Illuminated room in safe building 2,14991614,Omar,,Cuauhtémoc,19.4127,-99.16166,Private room,344,2,61,5/25/2018,1.28,9,296
6912769,Cuarto en Col. Roma Sur,36226015,Juan Carlos,,Cuauhtémoc,19.40876,-99.16516,Private room,344,1,1,5/19/2019,0.81,2,358
7007719,Cozy room in Roma Norte,36736818,Andrea,,Cuauhtémoc,19.41731,-99.17152,Private room,344,1,1,8/11/2015,0.02,1,0
7092631,Cómodo cuarto en un excelente lugar,37157932,Maru,,Cuauhtémoc,19.4194,-99.17193,Private room,344,6,4,3/19/2016,0.09,1,0
7109819,A place to enjoy and have fun,11917947,Fede,,Miguel Hidalgo,19.40315,-99.18188,Private room,344,1,0,,,1,0
7367003,Del Valle Acogedora Recámara! MUY BUENA UBICACION!,4753523,Arturo,,Benito Juárez,19.38647,-99.17007,Private room,344,7,8,4/5/2019,0.18,2,327
7501293,Habitación privada en Coyoacan,39293828,Adriana,,Coyoacán,19.34664,-99.14898,Private room,344,1,0,,,3,254
7582942,Nice room in Coyoacan,29757280,Elis,,Coyoacán,19.35294,-99.15697,Private room,344,2,21,3/31/2019,0.45,2,364
7651362,Spacious room in Centro Historico CDMX,40150179,Ana,,Cuauhtémoc,19.42655,-99.13851,Private room,344,2,83,5/23/2019,1.87,1,365
7712515,Great location in Mexico City!,37995487,Pina,,Cuauhtémoc,19.44015,-99.16439,Private room,344,2,28,2/25/2019,0.6,1,359
7719646,Habitación a 5 min del Aeropuerto baño compartido,39532020,Shannthall,,Venustiano Carranza,19.4159,-99.11578,Private room,344,3,2,8/31/2016,0.04,5,361
7808411,Nice zen place in condesa,40902404,Gabriel,,Cuauhtémoc,19.40905,-99.18005,Private room,344,1,83,5/31/2019,2.49,1,90
7984785,Urban Premium Room,37183129,Urban Oasis,,Benito Juárez,19.38895,-99.1697,Private room,344,1,76,3/31/2019,1.64,20,365
