Date,Open,High,Low,Close,Volume
6/14/2021,71.16,72.49,70.81,72.12,336035
6/13/2021,70.65,71.78,70.65,70.88,319639
6/10/2021,70.1,71.24,69.68,70.91,563575
6/9/2021,69.76,70.65,68.68,70.29,492464
6/8/2021,70.01,70.62,69.46,69.96,410820
6/7/2021,69.29,70.27,68.47,70.05,441302
6/6/2021,69.52,70,68.93,69.23,365621
6/3/2021,68.91,69.76,68.33,69.62,326250
6/2/2021,68.76,69.4,68.19,68.81,351367
6/1/2021,67.99,69,67.78,68.83,332995
5/31/2021,66.68,68.87,66.41,67.72,570985
5/27/2021,66.95,67.52,66.17,66.32,390461
5/26/2021,66.16,66.92,65.47,66.85,337542
5/25/2021,66.04,66.43,65.25,66.21,376207
5/24/2021,66.02,66.51,65.41,66.07,497394
5/23/2021,63.87,66.14,63.63,66.05,466647
5/20/2021,61.89,64.07,61.56,63.58,530831
5/19/2021,63.39,63.96,61.89,62.05,524168
5/18/2021,65.28,65.35,61.95,63.36,101902
5/17/2021,66.33,67.01,64.11,65.49,167348
5/16/2021,65.5,66.43,64.83,66.27,268476
5/13/2021,63.83,65.62,63.33,65.37,383749
5/12/2021,65.75,65.81,63.09,63.82,547691
5/11/2021,65.46,66.63,64.97,66.08,508519
5/10/2021,64.9,65.5,63.68,65.28,514949
5/9/2021,65.57,65.75,63.95,64.92,448337
5/6/2021,64.9,65.24,63.9,64.9,431417
5/5/2021,65.27,65.98,64.5,64.71,389214
5/4/2021,66.45,66.76,64.92,65.63,460066
5/3/2021,64.53,66.19,64.29,65.69,370208
5/2/2021,63.64,64.68,62.91,64.49,285969
4/29/2021,64.88,64.95,63.08,63.58,400515
4/28/2021,63.7,65.47,63.65,65.01,384489
4/27/2021,63.04,64.53,62.67,63.86,387683
4/26/2021,61.97,63.3,61.91,62.94,361536
4/25/2021,62.06,62.31,60.66,61.91,366865
4/22/2021,61.65,62.43,61.25,62.14,345407
4/21/2021,61.11,61.87,60.61,61.43,344700
4/20/2021,62.39,62.56,60.86,61.35,431486
4/19/2021,63.47,64.25,61.5,62.44,476046
4/18/2021,62.98,63.63,62.63,63.38,74384
4/15/2021,63.32,63.88,62.83,63.13,87795
4/14/2021,62.83,63.57,62.53,63.46,243370
4/13/2021,60.44,63.44,60.38,63.15,419813
4/12/2021,59.64,60.59,59.64,60.18,349733
4/11/2021,59.35,60.77,58.73,59.7,410218
4/8/2021,59.76,59.95,59.1,59.32,351436
4/7/2021,59.52,59.93,58.82,59.6,419913
4/6/2021,59.26,60.04,58.12,59.77,475537
4/5/2021,58.8,60.9,58.62,59.33,457348
4/4/2021,61.5,61.5,57.63,58.65,438864
3/31/2021,59.49,61.75,58.86,61.45,605567
